,Ano,Marca,Modelo,Usado/Novo,Preço,Classificação do Consumidor,Avaliações do consumidor,Tipo de vendedor,Nome do Vendedor,Avaliação do vendendor,Comentarios do vendedor,Rua do Vendedor,Estado,CEP,Qualidade do Negocio,Conforto,Desing do Interior,Desempenho,Preço Avaliado pelos consumidores,Desing Exterior,Confiabilidade,Cor do Exterior,Cor do Interior,Drivetrain,MinMPG,MaxMPG,Tipo de Combustivel,Transmissão,Motor,VIN,Stock#,Milhagem
10,2017,Lexus,RC 350 Base,Usado,42734,4.8,14,Distribuidor,Chapman BMW on Camelback,4.8,1405,830 E Camelback Rd Phoenix,AZ,85014,Ótimo,4.6,4.9,4.7,4.6,5.0,4.9,Infrared,Silver,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC2H5017212,X220879A,10236
11,2013,Lexus,GS 350 Base,Usado,16990,4.7,81,Distribuidor,Expo Auto Sales LLC,5.0,3,4219 S. 7th st Phoenix,AZ,85040,Ótimo,4.8,4.8,4.7,4.5,4.7,4.9,Gray,Black,Rear-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,JTHBE1BL3D5024808,024808,48605
12,2017,Lexus,RX 350 RX 350,Usado,36450,4.7,261,Distribuidor,Goldies Motors,4.9,200,2950-1 E Broadway Rd Phoenix,AZ,85040,Bom,4.8,4.7,4.6,4.5,4.7,4.8,Nightfall Mica,Gray,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2ZZMCA8HC086311,086311,47729
13,2020,Dodge,Charger Scat Pack,Novo,47500,4.8,56,Distribuidor,Tempe Dodge Chrysler Jeep RAM,4.7,1973,7975 S. Autoplex Loop Tempe,AZ,85284,Bom,4.9,4.8,4.9,4.7,4.9,4.9,White Knuckle Clearcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ5LH162364,NK11114B,31538
14,2020,Dodge,Charger Scat Pack,Usado,41000,4.8,56,Distribuidor,AutoSavvy Gilbert,4.5,92,1025 north Arizona ave Gilbert,AZ,85233,Sem Resposta,4.9,4.8,4.9,4.7,4.9,4.9,Octane Red Pearlcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ4LH149735,54546,18717
15,2017,Lexus,RC 350 Base,Usado,41493,4.8,14,Distribuidor,AutoNation Nissan Chandler,4.6,893,1350 S Gilbert Rd Chandler,AZ,85286,Razoável,4.6,4.9,4.7,4.6,5.0,4.9,Silver Lining Metallic,Sport,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC9H5016381,H5016381,34102
16,2018,Ford,Explorer XLT,Usado,32995,4.8,265,Distribuidor,Driven Auto Sales,5.0,2,688 S Main St Springville,UT,84663,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Red,Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D89JGB20589,P2214,61294
17,2021,Subaru,Crosstrek Premium,Usado,25500,4.8,78,Distribuidor,AutoSavvy Lindon,4.4,121,370 State St Lindon,UT,84042,Sem Resposta,4.9,4.8,4.8,4.8,4.8,4.8,Cool-Gray Khaki,Black,All-wheel Drive,28,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC0M8340692,53341,11508
18,2018,Ford,Explorer XLT,Usado,33341,4.8,265,Distribuidor,Larry H. Miller Used Car Supermarket Sandy,3.9,338,10990 Auto Mall Dr Sandy,UT,84070,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Red,–,Four-wheel Drive,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,1FM5K8D82JGC77140,R5631,81375
19,2018,Ford,Explorer XLT,Usado,30489,4.8,265,Distribuidor,EchoPark Automotive Salt Lake City Delivery Center,3.0,2,3638 South State St Salt Lake City,UT,84115,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Ruby Red Metallic Tinted Clearcoat,Ebony Black,Front-wheel Drive,17,24,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K7DH7JGC86801,PJGC86801,28357
20,2018,Ford,Explorer XLT,Usado,32489,4.8,265,Distribuidor,EchoPark Automotive Salt Lake City Delivery Center,3.0,2,3638 South State St Salt Lake City,UT,84115,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Shadow Black,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D81JGC67795,PJGC67795,33188
21,2021,Acura,RDX A-Spec,Usado,37000,4.8,42,Distribuidor,TJ Chapman Auto LLC,4.2,65,2021 N Redwood Rd Salt Lake City,UT,84116,Sem Resposta,4.9,4.9,4.7,4.6,4.9,4.8,Majestic Black Pearl,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H60ML034891,ML034891,5188
22,2021,Acura,RDX A-Spec,Usado,38000,4.8,42,Distribuidor,TJ Chapman Auto LLC,4.2,65,2021 N Redwood Rd Salt Lake City,UT,84116,Sem Resposta,4.9,4.9,4.7,4.6,4.9,4.8,Apex Blue Pearl,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H65ML044042,ML044042,12878
23,2018,Ford,Explorer XLT,Usado,31672,4.8,265,Distribuidor,Hertz Cars Sales Layton,4.9,255,1573 N Main St Layton,UT,84041,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Magnetic,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D84JGB62068,180116740,47661
24,2021,Subaru,Forester Sport,Usado,29500,4.9,109,Distribuidor,AutoSavvy Boise,4.6,96,1745 N Five Mile Rd Boise,ID,83713,Sem Resposta,4.9,4.9,4.9,4.8,4.8,4.9,Ice Silver Metallic,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKALC4MH401994,53809,10859
25,2018,Subaru,Crosstrek 2.0i Premium,Usado,31995,4.8,343,Distribuidor,Jennifer's Auto Sales & Service,4.0,43,15020 E Sprague Ave Spokane Valley,WA,99216,Razoável,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH323841,15919,30849
26,2018,Subaru,Crosstrek 2.0i Premium,Usado,24561,4.8,343,Distribuidor,AutoNation Audi Volkswagen Spokane,4.6,176,10006 E Sprague Ave Spokane Valley,WA,99206,Bom,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC4JH245601,JH245601,86759
27,2018,Subaru,Crosstrek 2.0i Premium,Usado,24921,4.8,343,Distribuidor,NW Group Auto Sales,1.0,1,2995 E Mullan Ave Post Falls,ID,83854,Bom,4.8,4.8,4.6,4.8,4.9,4.9,Crystal White Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH280909,R280909,61053
28,2016,BMW,435 Gran Coupe i xDrive,Usado,30995,4.8,16,Distribuidor,Painless Autos,5.0,7,13285 NE 20th Street Bellevue,WA,98005,Bom,4.6,4.9,4.9,4.4,5.0,5.0,White,Coral Red / Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C58GG344713,61777494,65219
29,2016,BMW,435 Gran Coupe i xDrive,Usado,30995,4.8,16,Distribuidor,Painless Autos,5.0,7,13285 NE 20th Street Bellevue,WA,98005,Razoável,4.6,4.9,4.9,4.4,5.0,5.0,Gray,Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C57GG527875,61708777,63055
30,2019,Honda,Odyssey EX-L,Usado,38347,4.6,133,Distribuidor,Norm Reeves Honda Superstore North Richland Hills,5.0,59,7551 Northeast Loop 820 North Richland Hills,TX,76180,Bom,4.8,4.6,4.5,4.3,4.7,4.5,Modern Steel Metallic,Gray,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79KB016821,B01681,64571
31,2016,Honda,Odyssey EX-L,Usado,28999,4.7,100,Privado,Darshan,4.7,1563,The Colony,TX,75056,Ótimo,4.8,4.6,4.7,4.6,4.7,4.8,Gray,Beige,Front-wheel Drive,19,28,Gasoline Fuel,6-Speed A/T,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5FNRL5H66GB090450,–,56000
32,2020,Mercedes-Benz,GLC 300 Base,Usado,43451,4.8,35,Distribuidor,Hendrick Volkswagen Frisco,4.7,205,5010 State Hwy 121 Frisco,TX,75034,Bom,4.9,4.9,4.7,4.7,4.9,4.7,Black,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8DB5LF861075,P03785A,34768
33,2019,Audi,Q5 2.0T Premium,Usado,37300,4.7,42,Distribuidor,John Eagle Honda of Dallas,4.8,2054,5403 Lemmon Ave Dallas,TX,75209,Bom,4.8,4.6,4.7,4.5,4.7,4.7,Florett Silver Metallic,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY5K2100119,K2100119P,26012
34,2014,BMW,428 i,Usado,27741,4.8,61,Distribuidor,Accelerate Auto Group,4.3,6,5201 Grisham Dr Rowlett,TX,75088,Razoável,4.7,4.7,4.9,4.5,4.9,4.7,Glacier Silver Metallic,Black,Rear-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA3V7C51EP770606,STK770606,48531
35,2019,Volvo,XC60 T5 Momentum,Usado,40782,4.9,82,Distribuidor,Gorges Volvo Cars,4.9,1911,17665 Burt Street Omaha,NE,68118,Bom,5.0,4.9,4.9,4.8,4.9,4.9,Denim Blue,–,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK0KB289195,3674G,10969
36,2019,Honda,Odyssey EX-L,Usado,38900,4.6,133,Distribuidor,Honda of Olathe,4.8,721,1000 N Rogers Rd Olathe,KS,66062,Bom,4.8,4.6,4.5,4.3,4.7,4.5,Crystal Black Pearl,Mocha,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71KB114385,H002570A,32201
37,2019,Lincoln,MKZ Standard,Usado,30691,4.9,32,Distribuidor,West Point Lincoln,4.7,112,11666 Katy Freeway Houston,TX,77043,Razoável,5.0,4.9,4.9,4.9,4.9,5.0,Magnetic Gray Metallic,Ebony,Front-wheel Drive,20,31,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5A98KR601862,CP26011,34686
38,2020,Subaru,Ascent Touring 7-Passenger,Usado,31754,4.8,83,Distribuidor,RAVMOTORS of Crystal,4.7,192,5241 W Broadway Ave Minneapolis,MN,55429,Ótimo,4.8,4.8,4.8,4.7,4.9,4.8,Crystal White Pearl,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMARD3L3445339,C206657S,47226
39,2017,Land,Rover Range Rover Evoque SE Premium,Usado,34555,4.3,42,Privado,Jason,4.7,192,Hudson,WI,54016,Ótimo,4.4,4.6,4.2,4.0,4.7,4.0,Gray,Beige,Four-wheel Drive,21,29,Gasoline Fuel,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,SALVP2BG1HH214962,–,39855
40,2022,Acura,MDX A-Spec,Novo,58995,4.9,16,Distribuidor,Frank Leta Acura,4.6,383,11777 Tesson Ferry Rd Saint Louis,MO,63128,Razoável,4.9,4.8,4.9,4.9,4.9,4.9,Performance Red Pearl,Ebony,All-wheel Drive,19,25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YE1H06NL004768,PA2258,12531
41,2022,Honda,Pilot EX-L,Usado,41535,5.0,1,Distribuidor,Banner Ford,4.4,159,1943 N Causeway Blvd Mandeville,LA,70471,Ótimo,5.0,5.0,5.0,5.0,5.0,5.0,Silver Metallic,Gray,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H53NB008763,NB008763,15118
42,2019,Chevrolet,Impala Premier 2LZ,Usado,26998,4.7,61,Distribuidor,Kunes Chevrolet Cadillac of Delavan,4.7,923,1231 E Geneva St Delavan,WI,53115,Razoável,4.8,4.8,4.8,4.7,4.7,4.8,Black,–,Front-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,2G1105S31K9161628,02P596A,49372
43,2013,INFINITI,G37 x,Usado,17300,4.7,131,Privado,stan,4.7,923,Mount Prospect,IL,60056,Sem Resposta,4.6,4.5,4.8,4.7,4.7,4.8,Gray,Black,All-wheel Drive,18,25,Gasoline Fuel,7-Speed A/T,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,JN1CV6AR5DM756312,–,66560
44,2017,Honda,Civic EX,Usado,22004,4.8,743,Distribuidor,Toyota of Lincoln Park,4.2,380,1561 N Fremont St Chicago,IL,60642,Bom,4.7,4.7,4.8,4.8,4.8,4.8,Modern Steel Metallic,Black / Gray,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H54HU218886,K1812,35257
45,2017,Tesla,Model S 75,Usado,47000,4.6,37,Privado,Kenny,4.2,380,Gallatin,TN,37066,Bom,4.7,4.4,4.9,4.1,4.7,4.5,Silver,White,Rear-wheel Drive,0,0,Electric Fuel System,A/T,382.0HP Electric Motor Electric Fuel System,5YJSA1E17HF196111,–,84000
46,2021,Honda,Pilot Special Edition,Novo,43296,4.8,63,Distribuidor,Ed Martin Honda,4.8,959,770 North Shadeland Avenue Indianapolis,IN,46219,Bom,4.9,4.7,4.8,4.7,4.7,4.8,Steel Sapphire Metallic,Gray,All-wheel Drive,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H29MB101863,2CR3252A,10563
47,2015,Jeep,Grand Cherokee SRT,Usado,52884,4.8,296,Distribuidor,Preferred Automotive Group State Boulevard,4.9,223,615 E State Blvd Fort Wayne,IN,46805,Razoável,4.9,4.8,4.8,4.6,4.9,4.7,Redline 2 Coat Pearl,Sepia / Black,Four-wheel Drive,13,19,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4RJFDJXFC213281,Z11047A,49870
48,2011,Ford,Explorer Limited,Usado,12290,4.3,112,Distribuidor,Furthmiller Motors LLC,4.2,34,1219 State Road 8 Auburn,IN,46706,Ótimo,4.6,4.5,4.2,4.0,4.6,4.1,White,Beige,Front-wheel Drive,17,25,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FMHK7F86BGA15028,5028,117401
49,2017,BMW,M240 i,Usado,33900,4.7,20,Distribuidor,Marietta Auto Sales,4.3,1245,1666 Roswell Rd Marietta,GA,30062,Ótimo,4.5,4.4,4.9,4.5,4.8,4.8,Alpine White,Oyster/Black,Rear-wheel Drive,21,32,Gasoline,8-SPEED A/T,Straight 6 Cylinder Engine,WBA2G1C37HV639150,HV639150,60733
50,2020,Volvo,XC60 T5 Inscription,Usado,41389,4.9,39,Distribuidor,EchoPark Automotive Knoxville Delivery Center,4.0,25,ONLINE ONLY Knoxville,TN,37923,Razoável,4.9,4.9,4.9,4.9,4.9,4.9,Onyx Black Metallic,Charcoal,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4102DL4L1571569,PL1571569,36577
51,2018,Honda,Civic EX,Usado,23739,4.8,546,Distribuidor,North Coast Auto Mall of Cleveland,4.8,2398,5700 Brookpark Rd Cleveland,OH,44129,Bom,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H51JU419408,419408K01,32333
52,2020,BMW,X1 xDrive28i,Usado,32893,4.8,13,Distribuidor,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Bom,4.7,4.9,5.0,4.7,4.8,4.9,Alpine White,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C08L5P94224,P94224C01,39879
53,2020,BMW,X1 xDrive28i,Usado,30693,4.8,13,Distribuidor,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Bom,4.7,4.9,5.0,4.7,4.8,4.9,Jet Black,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C07L5P88611,P88611C01,50199
54,2019,Acura,ILX Premium & A-SPEC Packages,Usado,23995,4.7,24,Distribuidor,BBS AUTO SALES,3.7,7,132 S Sutton Rd Fort Mill,SC,29708,Ótimo,4.7,4.6,4.6,4.6,4.8,4.6,White,Red,Front-wheel Drive,24,34,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UDE2F87KA000944,000944,14940
55,2021,Chrysler,300 S,Usado,30000,5.0,3,Distribuidor,Auto Boutique,4.8,1047,10100 Atlantic BLVD Jacksonville,FL,32225,Ótimo,5.0,5.0,5.0,5.0,5.0,5.0,Gloss Black,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCABG7MH554324,08630,19229
56,2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Usado,53000,4.8,38,Privado,Owais,3.6,67,Chantilly,VA,20152,Ótimo,4.9,4.8,4.9,4.6,4.9,4.7,White,Red,Four-wheel Drive,17,23,Gasoline Fuel,8-Speed A/T,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,SALWV2FV0HA134046,–,55000
57,2019,BMW,Z4 sDrive30i,Usado,46500,5.0,2,Distribuidor,BMW of Sterling,4.5,1031,21710 Auto World Cir Sterling,VA,20166,Bom,5.0,5.0,5.0,5.0,5.0,5.0,Metallic,Ivory White,Rear-wheel Drive,25,32,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBAHF3C57KWW34090,KWW34090P,23504
59,2016,Land,Rover Range Rover,Usado,51000,4.8,29,Distribuidor,Alpha Motorsports Fredericksburg,4.6,1129,410 Hudgins Rd Fredericksburg,VA,22408,Bom,5.0,4.9,5.0,4.5,4.9,4.7,Santorini Black,Ebony / Ebony,Four-wheel Drive,14,19,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SALGS2EF3GA304115,C4115,54449
60,2011,Ford,F-150 Lariat,Usado,18973,4.5,262,Distribuidor,Car Legends,4.5,68,3860 Jefferson Davis Hwy Stafford,VA,22554,Bom,4.7,4.5,4.5,4.4,4.6,4.5,Red,Black,Four-wheel Drive,14,19,E85 Flex Fuel,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,1FTFW1EF6BFB22132,PB22132,110111
61,2018,Mazda,CX-5 Grand Touring,Usado,25549,4.8,270,Distribuidor,DARCARS Pre-Owned Fairfax,3.3,125,10620 Fairfax Blvd Fairfax,VA,22030,Bom,4.8,4.8,4.7,4.8,4.8,4.8,Jet Black Mica,Black,Front-wheel Drive,25,31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFADMXJ1369395,PH0041,66601
62,2018,Kia,Sportage LX,Usado,18500,4.8,356,Distribuidor,Koons Kia,3.9,467,14208 Jefferson Davis Hwy Woodbridge,VA,22191,Bom,4.9,4.9,4.8,4.8,4.9,4.9,Black Cherry,Black,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,KNDPM3AC8J7352409,0230058A,79336
63,2017,Volkswagen,Tiguan Sport,Usado,20000,4.8,94,Distribuidor,Faulkner Subaru of Mechanicsburg,4.7,336,6629 Carlisle Pike Mechanicsburg,PA,17050,Razoável,4.8,4.7,4.8,4.7,4.7,4.8,Reflex Silver Metallic,Charcoal Black,All-wheel Drive,20,24,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,WVGUV7AX9HK017771,HK017771,87957
64,2017,Chrysler,300 S,Usado,33558,4.7,68,Distribuidor,Keller Bros. Pre-Owned,4.9,268,2300 Cumberland St Lebanon,PA,17042,Sem Resposta,4.8,4.7,4.8,4.6,4.7,4.7,Granite Crystal Clearcoat Metallic,Linen,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,2C3CCABT6HH596941,T1613,27054
65,2020,Tesla,Model X Performance,Usado,122222,4.2,5,Privado,Joey,4.9,268,Hollywood,FL,33020,Sem Resposta,4.2,4.0,4.8,3.8,4.2,4.4,White,White,All-wheel Drive,80,77,Electric Fuel System,1-Speed A/T,Electric Motor Electric Fuel System,5YJXCAE47LF229238,–,29918
66,2019,Subaru,Impreza 2.0i Premium,Usado,4750,4.6,90,Distribuidor,AE of Miami,3.5,63,5700 NW 27th Ave Miami,FL,33142,Sem Resposta,4.7,4.6,4.4,4.5,4.6,4.6,Ice Silver Metallic,Black,All-wheel Drive,28,36,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,4S3GTAD61K3727773,727773,67792
67,2019,Jeep,Cherokee Latitude Plus,Usado,27500,4.6,568,Distribuidor,MotorWorld Pre-Owned,4.7,1801,150 Motorworld Dr Wilkes-Barre,PA,18702,Ótimo,4.8,4.7,4.5,4.5,4.7,4.6,Diamond Black,Black,Four-wheel Drive,21,29,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,1C4PJMLB9KD402160,J13480A,21870
68,2019,Jeep,Cherokee Latitude Plus,Usado,21795,4.6,568,Distribuidor,Lehighton Ford,4.0,14,54 Blakeslee Blvd Dr E Lehighton,PA,18235,Ótimo,4.8,4.7,4.5,4.5,4.7,4.6,Granite Crystal Metallic Clearcoat,Black,Front-wheel Drive,22,31,Gasoline,9-SPEED A/T,4 Cylinder Engine,1C4PJLLB4KD316538,223501B,74832
69,2018,BMW,320 i xDrive,Usado,25950,4.9,50,Distribuidor,CarShop Glen Mills,4.9,95,1021 Baltimore Pike Glen Mills,PA,19342,Razoável,4.9,4.8,4.9,4.8,4.8,5.0,Black Sapphire,Charcoal,All-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA8A3C55JA505632,F08304,55001
70,2016,Porsche,Cayenne Base,Usado,44998,4.8,39,Distribuidor,CarMax King of Prussia - Now offering Curbside Pickup,5.0,3,185 S Gulph Rd King of Prussia,PA,19406,Bom,4.9,4.8,4.9,4.5,4.9,4.9,Black,Black,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,WP1AA2A29GKA37624,21403694,37979
